,emotion,tweet
0,disgust,No  of Containment Zones in Vijayawada  VMC limits   May 26  13  June 9    42  List available here   http   vmc ap gov in containmentzones    AndhraPradesh  Unlock1  THAndhra
1,disgust, Unlock 1 0  evokes huge response  Covid 19  Unlock1 0  Restaurants  Vijayawada  https   www thehansindia com andhra pradesh unlock 10 evokes huge response 627041 utm_campaign pubshare utm_source Twitter utm_medium 1874798778 utm_content auto link utm_id 139  
2,joy,Are people hesitant to venture out  Mall in Vijayawada wearing a deserted look on day one of the first phase of  Unlock1    Express Video   Prasant Madugula  xpressandhra pic twitter com ClW2olb7jk
3,sadness,Minister Vellampalli Srinivas inspects arrangements at Durga temple in Vijayawada  YSRCParty  Unlock1 0  MinisterVellampalliSrinivas  DurgaTemple  Vijayawada  https   www thehansindia com andhra pradesh minister vellampalli srinivas inspects arrangements at durga temple in vijayawada 626867 utm_campaign pubshare utm_source Twitter utm_medium 1874798778 utm_content auto link utm_id 139  
4,joy,In Pics  With relaxations given to restaurants and hotels  people have breakfast at a hotel in  Vijayawada on Monday   Photos   Prasant Madugula   NewIndianXpress  Unlock1  AndhraFightsCorona  CoronaUpdates pic twitter com ZJoZHVjpcr
5,joy,The Mahatma Gandhi wholesale market got back its glory as work resumes post lockdown in  Vijayawada    Video   Prasant Madugula   NewIndianXpress  Unlock1  Lockdown5  IndiaFightsCorona pic twitter com e8vHhlcAlI
6,joy,Public flout social distancing norms at market area in One Town in  Vijayawada    Photo    Prasant Madugula   Unlock1  IndiaFightsCorona  lockdown5  andhrafightscorona pic twitter com 7tVsprA8Gw
7,joy,Masks  Yes  Social distancing  No  On the first day of  Unlock1 after two long months of  lockdown2020  hundreds of passengers throng Vijayawada Railway Station to board Golconda Express    COVIDー19   Express Photos   Prasant Madugula  xpressandhra pic twitter com yfP3fa7coi
8,joy,A look at arrangements being done at  KanakaDurgaTemple and  GunadalaChurch in  Vijayawada ahead of  reopening of  religious places from June 8   Video   P Ravindra Babu   NewIndianXpress  Unlock1  Lockdown5 pic twitter com c3QVB5dgRx
9,sadness, KTRTRS sir  kindly look into this  We 5 family members were locked at vijayawada unable to attend our pregnant daughter at Hyderabad since 23 3 2020  We wish to travel vijayawada to Hyderabad on 01 06 2020 as per  Unlock1  Lockdown5Guidelines   in our own vehicles   pic twitter com E8PPJ23CQi
10,joy, TelanganaCMO please clarify whether we can travel on 01 06 2020 as per the new  Unlock1  Lockdown5Guidelines  about removing restrictions for persons to travel interstate   Andhra Pradesh to Telangana    We 5 have to travel from vijayawada to Hyderabad to attend our daughter   pic twitter com ea6Ob9FVsD
11,sadness,At least 13 people lost their lives due to lightning   thunderstorm in UP s Unnao and Kannauj districts  Officials   UP  Unlock1  lockdownextension
12,joy,During  Unlock1  it is important to abide by safety norms at workplace  These stickers from  BlrJupiter help in reinforcing the importance of masks  sanitizers   social distancing  Our ICD Durgapur is following utmost precautions while serving the EXIM Trade   StayHealthyStaySafe pic twitter com XjtLWTcut2
13,joy,Sunday morning    Chana masala with tea water by me   Porota by wifey   delicious  homemade  foodie 18 GST  parathha  Durgapur  Unlock1  foodporn pic twitter com zH2qjgsVAx
14,joy, Essar Oil   Gas facility in Durgapur  West Bengal with 50 000 standard cubic meters per day  scmd  capacity is eying to acquire new consumers in this  Unlock1   tawdev  MD   CEO   EOGEPL speaks to  Ra_Avishek  bsindia  Read the full report  https   bit ly 2Uhv5SM  pic twitter com GJdZJRW2vl
15,sadness,West Bengal  Social distancing norms were violated as people gathered to offer prayers at a temple in Durgapur   State Government allowed all religious places to reopen from June 1 with not more than 10 people allowed inside the premises at a time    Unlock1  pic twitter com DwNvCEFtQZ
16,anger,Shops  domestic repairs services reopened   Unlock1  Aurangabad  maharashtra
17,joy,A day after lockdown restrictions were eased  Covid 19 cases spurt to a whopping 62 in a single day in Tuesday in Aurangabad  Unlock1  coronavirus  pandemic  Nisarga
18,disgust,और ग ब दमध य  अनल क 1 च  अ मलबज वण   क र न  स सर ग च  स थ त  क य   https   www tv9marathi com maharashtra aurangabad corona updates after unlock 1 226759 html    CoronaUpdates  Aurangabad  Unlock1  Lockdown5
19,anger,Please it s humble request to start domestic flights from Aurangabad IXU  strandedinAurangabad  Unlock1  resumedomesticflights  jobAtrisk  NeedtoReturnToWork  HardeepSPuri  DGCAIndia  MoCA_GoI  Subhash_Desai  CMOMaharashtra  IndiGo6E  airindiain  FlyTruJet  fly_high_IXU
20,joy,Corona infected Top 20 cities MUM 39686 DEL 19844 CHEN 14799 AMD 12180 Thane 9585 Pune 7919 Indore 3486 Kolkata 2125 Jaipur 1991 Surat 1620 Jodhpur 1530 Aurangabad 1501 Bhopal 1467 HYD 1461 Chengalpattu 1172 Nashik 1135 Raigad 1108 Vadodara 1057 Howrah 1029 Palghar 1018   Unlock1
21,disgust,The colony   lane where Corona case being found should be sealed not the whole market area  How long people should barred from earning their livelihoods  Hapur is facing worst lockdown in place of unlock1  CMOfficeUP  DmHapur  iiaonline  narendramodi  PMOIndia
22,sadness,Hapur is in complete lockdown in unlock1   full market closed people are suffering for their  bread without butter  DmHapur  narendramodi  myogioffice  CMOfficeUP
23,sadness,Hapur is in complete lockdown in unlock1   full market closed people are suffering for their  bread without butter  DmHapur  myogiadityanath  narendramodi  
24,sadness,Industries facing crisis in Chittoor amid lockdown exemptions  layoffs employees  TextileIndustry  Chittoor  Unlock1 0  AndhraPradesh https   www thehansindia com andhra pradesh industries facing crisis in chittoor amid lockdown exemptions layoffs employees 627080 utm_campaign pubshare utm_source Twitter utm_medium 1874798778 utm_content auto link utm_id 139  
25,joy,do you know which show is this  answer in the comment section    FusionLockdownGames  Unlock1  FusionGroup  Television  Quiz  Mandvi  Kutch  Bhuj  Gandhidham  Gujarat  DoGajkiDoori pic twitter com fmisDuksWY
26,anger,After listening this     Ye to  unlock1 se hi suru ho gaya tha  Naya kya hai   Not shocked  Indians ka fundamental rights hai  wo use kar rahe hai   Law paper pe banaiye  ground pe uska result     BIG ZERO    NarendraModi pic twitter com qZ8r4zQSkv
27,sadness,Hello sir  sir please start regular international flights  unlock1 me laha gaya tha ke 3 face me open hoga  1st face me mandir masjid hitels  2nd face me school colleges  3rd face me international flights par baat hogi  par abhi tak aisa nahi hua hai sir please start kijiye sir
28,joy, Day100 of quarantine life   Day30 of  Lockdown5  Lockdown5 is    Unlock1  Lollipop thama diya gaya hai        Band Import hona chaiye ban 59 apps kar di hai       Waise aaj 4 bj PM sb ka intezar rahenga   
29,anger,Strictness end  Law Joke ban gaya  Starting me sab thik tha Jab India me Corona nahi tha  waisa hi routine ho gaya logo ka   Truth is we r moving towards that phase where things are getting out of control from the gov itself   Thanks to  Unlock1  unlock2  Situation bigad raha hai
30,anger,In the manner which people have taken to the outdoors amidst  Unlock1  looks like  Corona Gaya Khadde Mein is the proverbial theme  Only the annoying  callertune that plays before every mobile call remains to remind the populace that corona se abhi bhi thoda toh daro na 
31,sadness,7 killed   12 injured after a truck hit 2 autorickshaws near Vishunpur in Amas  Gaya today  Injured have been hospitalized  Bihar  Bihar  ACCIDENT  Unlock1  governmentofindia  Hospitality  Doctor  Nursing  DEAD  BJP4Bihar  NitishKumar pic twitter com NgsbegKkbe
32,sadness,Lockdown 1 me jo graph ka slipe exponential growth kr rha tha lakin bad me wo linear ho gaya that means lockdown work  I am not talking about unlock1  https   twitter com RahulGandhi status 1271644908919513090  
33,anger,Pakore ko hothora mil gaya   Koathiki cobbari chippa dorikipe   Someone told Modi about lockdown to play some politics  Unlock1  FailingState  BJPFailsIndia useless delaying tactics
34,joy,Government to citizens  Baba  Corona failne ka time ho gaya  lockdown khol de baba  Citizens  Ha khol do lockdown  Na corona kam hua hai  na patient theek huye hain  magar nahi  tum khol do lockdown   unlock1  makejokeof  coronavirus
35,sadness,Namaste trump is the reason why we are suffering  Hamare Modi ji Tho Ji huzuri mein reh gaya  Unlock1  unlock2
36,anger,Chuha bill ke bahar aa hi gaya     thanks to Bihar elections  BestFriendsDay  Revive_PakSteelMills  GetWellSoonkejriwal  Pakistan  IndianArmyNumber1  coronavirus  Covid_19  COVID19  TrumpHasNoPlan  MeToo  Memes  WATCH  WakeUpAmerica  media  lockdown  QuarantineLife  Unlock1
37,fear, myogioffice  myogiadityanath  PMOIndia Yogi sir and Pm sir  please help me  Sir  June1 se Unlock1 suru hogaya he  Lekin NBFGR  Canal ring road  Lucknow  me hume jail jese rakha gaya he  Bahar sirf 1 ghante essentials lane ke liye jane diya jata he  Quarter resident r suffering 
38,joy,Birth certificate mein jo ek saal ghataya tha  wo toh ye Corona kha gaya    COVID__19  Unlock1
39,sadness,Hey  Mumbai  90  were supposedly stay at home  and 10  could go to office  Ulta nahi ho gaya    unlock1  pic twitter com 7A3OLaNT2G
40,sadness,Many Mumbaikars are going to their office which has no thermal screening facility no sanitization no social distancing norms  Why is the MHA issuing orders if it is not to be followed   Now its Ram Bharose 1 0   all India cares for is Economy human lives gaya tel lene   unlock1
41,joy,Ab toh Lockdown bhi open ho gaya    Pata nai logo ki soch kab open hogi         Unlock1  SaturdayThoughts
42,joy,Nashta ho gaya Tabhi  China ne  laddakh border pe Langar laga diya  aur saheb apni speciality  riots pe intervention karne lag Gaye   USAProtest  AllLivesMatter  FridayMotivation  Gujarat  IndiaThatIsBharat  QuarantineLife  RIPHumanity  safoorazargar  Unlock1  YouAboutToLoseYoJob
43,disgust, Unlock1 ke wajah  Lockdown ho gaya  https   twitter com ians_india status 1268913522626478080  
44,sadness, Unlock1  ho gaya  government hospital me ab jagah nahi  private hospital aam aadmi afford nai kr shkta ab or case badhe to government  vijayrupanibjp kya krenge   ANI  RealKingbhau  MpKhunt  PoonambenMaadam  ChovatiyaKunal
45,sadness,We r not working on logic   jb community spread nhi tha tb  lockdown lockdown tha  aur jb community spread Hua toh  Unlock1 ho gaya   bhagwan bhrosai sb hai   COVIDー19  COVID19India
46,disgust,Lo aa gaya Naya Target   Be Prepared for corona Rush  Now in Unlock1 0  Be cautious and extra vigilant   No one cares for you  more than yourself  Govt won t do anything  Help yourself       baujidesi  idesibanda  Batman_Banker  alashshukla  Arya_Star12 https   twitter com DFS_India status 1268510948895199234  
47,anger, Our battle with  COVID19 is not over  but we will not be afraid of the virus  We will take all precautions and we are going to move on with our lives   Waqt aa gaya  Aatmanirbhar banne ka  precautions ke saath shuru karein apna vyapaar    Unlock1  FightAgainstCorona    pic twitter com kcyF23UZfd
48,sadness,Ghar ke bahar dhekha toh itni bheed dikh rhi jese corona khatam he ho gaya ho      Unlock1  UnlockingIndia  StaySafeStayHealthy
49,joy,Ab toh LockDown 5 0 bhi khul gaya  Kuch logon ki soch kab tak LockDown rahegi    justsaying  narrowminded        TuesdayThoughts  tuesdayvibes  WritingCommunity  Writer  Lockdown5  Unlock1  ChangeIsNow  TwitterFactCheck  relatabletweets  Twitter
50,sadness, Unlock1 meaning    ab  coronavirus free ho gaya hai    COVID2019
51,sadness, Unlock1  ke baad Log yeh soach rahe hai ki  coronavirus  Khatam Ho gaya hai  Agar aisa hi raha toh yeh Blast hoga     LockDown Again   COVID2019
52,sadness,Dear Crush Abb LOCKDOWN   Bhi UNLOCK   Ho Gaya Lekin Tum Apne Heart Se BLOCK  KabTak Khuloge    Unlock1
53,sadness,India mein Corona cancel ho Gaya kya   Unlock1
54,disgust,MLA sab ko salary mil gaya na sirji   https   youtu be O4dBI5CWQgg   COVID19Pandemic  COVIDIOT  Unlock1  unlockone  UnlockIndia  DelhiGovt
55,disgust,This guy  HardikPandya really couldn t control his urge  Ye Karke bahut pehle aa gaya tha  Result ab aaya hai   NatasaStankovic  coronavirus  MissionBeginsAgain  AllHeartsWithSidharth  COVID19India  unlockone  UnlockingIndia  Unlock1  samosa  RohitSharma  ViratKohli  TeamIndia https   twitter com pinkvilla status 1267082305685688320  
56,sadness,Dil dhak dhak kar raha hai  Saar dizzy ho gaya hai  taazi hawa    Don t worry  pareshan na ho   It is  Unlock1
57,joy,Lo bhai finally lockdown 3 months ka ho he gaya  Toh phir 1st lockdown se pehale ek audio viral hua tha jisme 3 month lockdown ki baat kahi gai thi   Jisse PIB ne fake bataya tha   Aab kisi ko kuch kehana hai   chahe jo v naam de do  Lockdown5 ya phir  Unlock1
58,joy,Orri Baba   Hum China Se Bahut Dur Dur Nikal Gaya  Ab Germany   France se Bhi Aage Jayega   India Coronavirus Cases  181 827 Deaths  5 185 New Cases 8336 New Deaths 205  SpaceX  LaunchAmerica  NASA  Unlock1  द श_चल न _ख ल_नह _ह   TajMahal  unlockone  MannKiBaat  UnlockIndia
59,anger, Unlock1 Lockdown 5 0 se Unlock 1 ho gaya   Meanwhile    pic twitter com OoNuopwkwF
60,sadness, Lockdown5  Unlock1 is basically unlocking yourself from all the Moh maaya kyonki apnaa time aa gaya hai 
61,joy,Now  it s  Unlock1  Seems like a video game stage name  Sab kuch hi open ho gaya hai  ab  lockdown se Unlock 1  New set of stages  Oh God   
62,joy, Lockdown5  bach gaya  Unlock1 bach kr kidhar jayega  pic twitter com eIKPtwEToQ
63,sadness,HMO notification na ho gaya  exam result ho gaya  Lockdown5  Unlock1
64,disgust,Meanwhile IT BOSS be like    Ab to lockdown bhi khul gaya hai    Unlock1
65,joy, covid19India   Hyderabad tops the list of districts with increase in active cases for the period of 7 days for the first time  Bengaluru KA  Madurai TN  RangaReddy TS  inching ahead  Has  Unlock1 caused the spread to newer districts  Solapur MH  consistently shows more recovery   pic twitter com PloymrXKMC
66,sadness,Name  Tejaswini Kiran Madgundi Age   8 yr School   Indian model school Solapur  unlock1 0 challenge  pic twitter com ry3jcnFhcw
67,disgust,च  त जनक     स ल प र त एक च द वस त १०१ क र न  ब ध त     एक ण प  झ ट व ह १५०२    https   www esakal com paschim maharashtra news solapur number corona infected patients reached solapur upto  E0 A5 A7 E0 A5 AB  A5 A6 E0 A5 A8 306574    Sakal  SakalNews  viral  ViralNews  SakalMedia  news  MarathiNews  SakalSolapur  Solapur  Maharashtra  CoronavirusIndia  COVID19  Unlock1
68,sadness,मह प ल क  हद द त ग र व र  तब बल 91 क र न ब ध त    https   www esakal com paschim maharashtra news solapur many ninty one corona were affected municipal area thursday 306043    Sakal  SakalNews  viral  viralnews  SakalMedia  news  MarathiNews  Maharashtra  MaharashtraFightsCorona  coronavirus  COVID19  SakalSolapur  Solapur  Unlock1
69,disgust,स ल प र ज ल ह य च य  ग र म ण भ ग त क र न  ब ध त  च  श भर     https   www esakal com paschim maharashtra news solapur hundreds corona victims rural areas solapur district 305422    Sakal  SakalNews  viral  viralnews  SakalMedia  news  MarathiNews  MaharashtraFightsCorona  CoronavirusLockdown  coronavirus  COVID19  SakalSolapur  Solapur  Unlock1
70,disgust,आद श नक   समन वय स ध   स ल प र क र न म क त कर   https   www esakal com paschim maharashtra news solapur news regarding indian medical association and private hospital    Sakal  SakalNews  viral  viralnews  SakalMedia  news  MarathiNews  MaharashtraFightsCorona  CoronavirusLockdown  coronavirus  COVID19  Unlock1  SakalSolapur  Solapur
71,sadness,स ल प र शहर त आढळल   ४७ नव  क र न ब ध त  एक ण प  झ ट व ह १२६८  https   www esakal com paschim maharashtra news solapur 47 corona positive patients found solapur city four death 305082    Sakal  SakalNews  viral  viralnews  SakalMedia  news  MarathiNews  MaharashtraFightsCorona  CoronavirusLockdown  coronavirus  COVID19  SakalSolapur  Solapur  Unlock1
72,disgust,आठ म त य सह स ल प र त आढळल  33 नव  क र न ब ध त  एक ण प  झ ट व ह 1221    https   www esakal com paschim maharashtra news solapur corona patients increased solapur 304474    Sakal  SakalNews  viral  viralnews  SakalMedia  news  MarathiNews  MaharashtraFightsCorona  coronavirus  COVID19  SakalSolapur  Solapur  Unlock1  unlock2
73,anger, UnLock1 begins from 01 06 2020  All activities in areas outside the containment zones will be relaxed in phased manner   but States can impose restrictions based on their own  assessment  I urge  CMOMaharashtra to issue MH and  Solapur specific guidelines at the earliest   https   twitter com PIBHomeAffairs status 1266723964015050752  
74,joy, OfficeofUT how many  Covid_19 tests are done on a daily basis in Mumbai  Thane  Kalyan  Dombivli  Ambarnath  Badlapur  Vasai  Virar  Navi Mumbai    Why is there unlock when there are less number beds hospital facilities  COVID19Mumbai  UdhavThackeray  Unlock1  LockdownFailed
75,sadness,On your  Atmanirbhar journey    Accutime is with you        Fastest  connectivity between  Mumbai    Kolkata  VocalForLocal    Unlock1 0  lessthantruckload  ltl  ftl fulltruckload  logistics  transportation  bhiwandi  pune  vasai  vapi pic twitter com 1PmmYwwuzL
76,sadness,That is a valid concern  but what about our own constituency  I had highlighted concerns on Lockdown in Bhiwandi  long ago  People taking it for granted  roaming without masks  Shops illegally open despite lockdown  before  Unlock1 0  because of this we are seeing 100 cases daily
77,joy,Renaissance has unlocks its park with an Unlock offer tailored for your business  Brands have already taken advantage of this offer  now you can too  Call us to know more   02250647454   Unlock1  IndustrialSpaces  Warehouse  ManufacturingUnit  IndustrialGala  RISC  Bhiwandi  pic twitter com azJzUfnQKI
78,joy, SocialDistancingNow goes for a toss in  bhiwandi  coronavirusinindia  Unlock1  pic twitter com G1CIw63763
79,sadness,Point 6 is missing here and please help me for my parents to send back hometown  allahabad in  unlock1
80,sadness,Please guide the passes or pre requisite to travel from gurgaon to allahabad by elderly parents by taxi   DC_Gurugram  myogiadityanath  ArvindKejriwal  Unlock1 is confusing  for travel between gurgaon  delhi and UP  travel  covid19  bordersealing
81,sadness, ArvindKejriwal sir problem did not spiral as much with people flocking to Delhi from international circuit but  failing to contain the containment zones in overzealous preparation for unlock1 0
82,joy, Delhi  PMModiAddrssTheNation Timely  lockdown and other decisions have saved the lives of millions of people in India  Since  Unlock1  negligence in personal and social behaviour is also increasing  PM  narendramodi  PMModi  COVID19  covid  ModiStrongestPmEver  policemedianews
83,joy,Next up is the compilation of 175 orders   notifications issued by Govt  of NCT of Delhi until  Unlock1  Thanks to  ChhabraDhriti  Amandeep__Saini   rupammjha  YuvanshiK for documenting  PRSLegislative   Index   https   drive google com file d 1sMqL_dLFBz4M6vFF5ySD20E3cqyORc6v view usp sharing   Notification   https   drive google com file d 1EQYrW_FxuZxaSvmCKUHQtTfGc8xzEmP  view usp sharing   pic twitter com EHcaTGzAj1
84,joy,At the beginning of this month it was unlock1  right  How is it lockdown again     There are abso no restrictions on people s movements   There s a person at my neighbors  who came from Delhi on Sunday is not even home quarantine ing properly  No officials came to check on him 
85,disgust,As  Unlock1 is about to come to an end   Delhi  NCR seems to be gathering on its  erickshaws  jostling at departmental stores and even refusing to wear masks while outside   NovelCoronavirus https   www nationalheraldindia com national delhi ncr crowded e rickshaws no masks buzzing markets  
86,joy, Salons  Beautyparlour  selflove  selfcare  Unlock1  COVID19  coronavirus  CoronavirusIndia  COVID19India  Maharashtra  CoronaUpdatesInIndia  Delhi  MadhyaPradesh  beautytips  safetytips  SafetyFirst https   www shroks com if youre visiting salons or beauty parlour follow these safety precautionary measures   
87,joy,Now I am getting the confidence that  COVID19 will come in control  Delhi and Maharashtra are testing heavily and thus contagion can be contained    MissionBeginAgain  Unlock1  Unlock2 pic twitter com ajYjIlbUj7
88,disgust,Karnataka waives institutional quarantine for Delhi  TN returnees   https   www mangalorean com karnataka waives institutional quarantine for delhi tn returnees     Covid_19  Bangalore  Karnataka  SouthIndia  India  QuarantineTimes  Quarantine  Unlock1  Delhi  TamilNadu  publichealth  safety  Contagion  Hotspots  Returnees  Domesticreturnees  Waiver
89,sadness,Dear  OfficeofUT what are ur goons extorting in name of naka bandhi along with  MumbaiPolice at Malad  boriwali  samtanagar   after being an utter failure stop this nonsense of punishing poor  what is the fuck nakabandhi in unlock1  just wished like delhi we also had a  AmitShah
90,disgust, https   youtu be 6lrPggGiGaw  Watch how delhi girl shares her experience after contracting CORONAVIRUS              coronavirus  COVID19  Unlock1  DelhiFightsCorona  Delhi  IndiaFightsCorona  UNICEF  selfawareness  fightagainstcorona  India
91,sadness,Can we officially name this summer as  Quarantime Sadness       Unlock1  India  Delhi  CoronaVirus  DelhiSummer
92,joy,When will the gyms open  Unlock1  delhi
93,sadness,Please help  That s what government wants from you  Go ahead  buy a vehicle and then fill their pockets with daily increasing fuel prices  We have been trying to request them to resume Delhi Metro since their unlock1  but to no avail 
94,sadness, Unlock1  In Delhi Today   Petrol at Rs 80 38 litre  Diesel at Rs 80 40 litre  In the last 21 days   PetrolPrice up by Rs 9 12 L  DieselPrice up by Rs 10 77 L   India Today pic twitter com wyuN1Wo2Tj
95,joy,Joggers  morning walkers and cyclists carry out their exercises near India Gate in  Delhi  DelhiUnlock1  Unlock1  pic twitter com F9B8XWklRI
96,joy, KhanMarket  Unlock1  Delhi  covid pic twitter com D4WT2KmMuP
97,joy,  Unlock1  Live gigs are also slowly coming back in business  Singers  GuruOfficial   AkhilNasha and  iamsinghdilbagh are all set to perform in Delhi July at private events    htTweets  Story by  SammySamarth  http   read ht E73q  pic twitter com 6iIpAA24gX
98,sadness, dtptraffic Is e pass required to cross over from  Delhi to  Gurgaon   coronavirus  Unlock1
99,anger,When there was  lockdown people were asking for  Unlock and now they are demanding for  lockdown    No one is forcing you to come out of the house  You can  StayHome and stay safe   gurugram  india  delhi  Haryana  Unlock1  IndiaFightsCorona  covid19  IndiaFightsCOVID19  corona
100,joy,Is e pass required to cross over from  Delhi to  Gurgaon   Dist_Admin_Ggm  DC_Gurugram  cmohry  coronavirus  Unlock1
101,disgust, The massive spike in cases in Delhi has coincided with  Unlock1   the centre s attempt to restart economic and commercial activity in least affected zones      NDTV     StateNews  covid19  Read more here  https   www ndtv com india news coronavirus cases delhi crosses 70 000 coronavirus cases with 3 788 new patients in 24 hours 2251628  
