,index,labels,tweet
0,2,neutral, we want to trade with someone who has houston tickets but no one will
1,3,worry,repinging  why didnt you go to prom bc my bf didnt like my friends
2,5,worry,hmmm httpwwwdjherocom is down
3,6,sadness, charlene my love i miss you
4,7,sadness, im sorry  at least its friday
5,9,worry,choked on her retainers
6,10,sadness,ugh i have to beat this stupid song to get to the next  rude
7,13,love, agreed
8,14,sadness,so sleepy again and its not even that late i fail once again
9,15,worry, lady gaga tweeted about not being impressed by her video leaking just so you know
10,16,sadness,how are you convinced that i have always wanted you what signals did i give off i think i just lost another friend
11,18,neutral,no topic maps talks at the balisage markup conference    program online at httptrimmlz via  topicmaps
12,19,worry,i ate something i dont know what it is why do i keep telling things about food
13,20,sadness,so tired and i think im definitely going to get an ear infection  going to bed early for once
14,22,sadness,  im sorry people are so rude to you isaac they should get some manners and know better than to be so lewd
15,23,worry,damm servers still down  i need to hit  before all the koxpers pass me
16,24,sadness,fudge just bsd that whole paper so tired ugh i hate school  time to sleep
17,25,worry,i hate cancer i hate it i hate it i hate it
18,26,neutral, i cant sleep
19,31,sadness,radio yeah s i feel all funny cause i havent slept enough  i woke my mum up cause i was singing shes not impressed s you
20,33,neutral,has work this afternoon
21,36,worry,just picked up her blackberry from the middle of the street both she and it are crushed
22,38,worry,bed its time hope i go to school tomorrow all though i dont feel very well right now
23,39,worry, ahh   well i was hoping that i could learn some stuff on the way  why not you and i work on separate things but also
24,40,sadness,im having a problem with my photo here in twitter amfcant see my face
25,42,neutral,wnna take a bath
26,43,neutral,chocolate milk is so much better through a straw i lack said straw
27,44,worry,why am i so tired
28,45,neutral, time diff and ive just been wrapped up in day to day stuff so i havent been tweeting talk soonmust sleepup in hrs
29,46,neutral,  no way  that sucks b  are you ok
30,49,neutral, but i got dibs on sulu
31,50,sadness, aww  onward and upwards now yay still sad to leave i bet
32,52,sadness,diesel yaris mpg  so sad its not available in the us thatd be awesome
33,53,sadness,i want to buy this great album but unfortunately i dont hav enuff funds  its long time noisy
34,57,worry, ia so much i havent really been happy with any of cooks choices for singles
35,58,sadness,   i fell asleep on the beach and didnt put on enough sunscreen  lol
36,60,happiness,so great to see oin  cynthia  so happy  dinner was great cute little place  too bad oin got sick afterwards
37,64,neutral,says i miss plurking  httpplurkcompwxion
38,71,sadness, ohh thursday i have exams all day  what about wednesday 
39,72,neutral,there was a mix up with my dentist appt this afternoon so they rescheduled me for tomorrow  am
40,73,sadness,  i was just thinking about how excited i am for you guys to move but then i realized how sad i am to see you go
41,74,worry,goooood mooorning people sun is out definitly spring now we had our first spring hail storm my car has dimples now
42,75,sadness, i love those itsakey usb sticks we only have the gb in australia
43,77,worry, i am jealous of your mom talking to  i want to see you all our twittering is making me miss you
44,80,neutral, whats going on sweetheart
45,81,neutral,how can it be so freaking difficult to get a systemwide spellchecker  id settle for an office suite one stupid unhelpful windows
46,82,worry,last one month due to summer strawberry is not availble in the chennai markets
47,83,neutral, work at am gotta go to bed soon
48,84,love, correct i adore him i just plucked him up and put him under my arm cuz he was cryin  all better now hahaha
49,85,sadness, hiii im on my ipodi cant fall asleep
50,87,sadness,feels sad coz i wasnt able to play with the guys  httpplurkcompwxiux
51,88,neutral,princecharming
52,89,worry,first ever dropped call on my mobile on a call to  no less  being charged for data even though i have a data pack  
53,90,neutral,oh is that time for real
54,91,sadness,darn these allergies i dont like this time of year because of this i never used to have this problem either
55,92,worry,oh no one minute too late oh well
56,93,sadness, i wanted to come to bz this summer  not so sure anymore a teachers life in the summer sucks
57,95,sadness,i wish she knew what she puts me throughshe stole my heart never gave it backand occasionally she likes to be like look what i have
58,96,worry,is up with a nasty cough i cant be sick i have a huge weekend ahead of me
59,99,neutral, im sure some will  out and play im workin through til midnight
60,100,neutral, i second that i wish it rained more where i am
61,101,sadness, early happy day of birth in case i dont make it very tired from therapy today n just taking my medicine  misshu love ya
62,103,neutral,im feel deflated ugh no more dog
63,104,sadness,allergies suck ducks nuts     
64,106,love, sounds good appreciate the suggestion been a week now and were still offline  time to ask for a refund
65,108,sadness,wonders why her karma points turned into   httpplurkcompwxj
66,109,happiness,need to pack for cali cali cannot waittt thinking a glass of wine is in order to celebrate my weekend vaca still work morrow tho
67,110,sadness,is miserable  i feel like im gona cry  sux
68,112,worry, my nose stud fell out and i cant find it  looks like ill have to head into amsterdam today and get a new one
69,114,love,pats in philly at  am i love it mmm cheesesteak  miss my boyfriend   but i love vacation
70,115,sadness,sigh im going to bed i just dont feel right anymore
71,116,neutral,what i focused on tom so much i didnt see my beloved barack oh no i must vote for both poor president only has  votes
72,118,sadness,now i am depressed after watching so you think you can dance
73,119,sadness,just cross cause im stuck twiddling my thumbs now ugh
74,121,neutral, i know but like i said i have no idea how long it takes for them to investigate this stuff
75,124,neutral,what is it with chocolates i just can never say no
76,125,worry,achieving a new appreciation on how a xml build script can really be painful and cumbersome
77,126,neutral,radio im too awake now  ill have a nap this afternoon
78,128,neutral,still needs another  hours of sleep
79,129,neutral,morning tweepleway to early again
80,130,sadness,last day working for the uni today sad times
81,131,love, thanks neemah im gonna be soooo close to you and izzy yet so far
82,133,worry,i just go up and im so tired and my airmatras is broken somewhere and now im in even more pain
83,135,worry,new blog post blog auto insuran i just found that my auto insurance policy had been expired  i am too careless    meanw 
84,140,worry, urgh stop it guys
85,141,sadness,is still missing her husband    i really want him home
86,142,sadness,i miss my puppy
87,143,sadness, ive given up on pizza  kids would never let me have my fav  the hot ones
88,145,sadness, yearling in pet home died very sad for their whole family
89,148,sadness, we hate change so of course were fans for life  oh and if we havent met rob by then something went horribly wrong
90,150,sadness,well  this new pain med has an odd warning that actually applies to me i cant take this chan is displeased
91,154,worry, its so addicting but its kind of a curse to do them at night time everytime i do one i feel like making music afterwards
92,156,neutral,  i was watching parental control
93,157,sadness,i just saw pics from this past thanksgiving and am sad because grandma was in them
94,158,worry, it wont let me
95,159,sadness,took a shift tomorrow    i dont really feel like working right now
96,160,sadness,but now i have no money for a phone
97,161,worry,spent last night in ae er wife tangled wheels with daughter  hit the deck dislocation  fracture resulted
98,162,worry,  days  im about ready to visit torchwood and see if theyve heard anything
99,163,sadness,too bad the red devils disappointing to say the least
100,164,sadness, have a ware se not fast enough for x xm ssd raid mhz iop on the hpt might try an adaptec  ghz
101,165,worry,ate mandy please forgive me i really am sorry i dont wanna lose my bff
102,170,sadness,hime i played up until the latter parts of the voodoo village part coop until i lost my usual partner
103,171,sadness,is a bad friend
104,172,neutral, happy birthdayyy hope you have an awesome day didnt see you at next last night
105,175,love, i missed the game
106,176,sadness, no internet last night er was brill there was a massive explosion at the end of a nearby gas works er on standby
107,177,sadness,  still a pity it comes with no lamb though
108,178,sadness,  im sorry to hear that here is my optimist things will get better for all of us
109,180,neutral, airport and you didnt show up tonight 
110,182,neutral,looking for desktop twitter app that will actually let you access urls any suggestions i liked twittle but no linking
111,184,neutral,out with    i am soooo hungry
112,185,worry, i dont like the possibility of the left side of my brain hurting because of the thing called a vp shunt and possible death
113,186,sadness,had to cancel wow for now
114,187,worry,wants to make a music profile but i dont have money i dont know how to write music i dont know how to play an instrument and no studio
115,188,sadness, but yeahim sad about my ravenclaw account i love that account to bits
116,192,neutral, poll  was trying to get it to work in a powerpoint to no avail
117,193,happiness,took a math test today the day before the test the teacher says bring your calculator luke was confident teacher decided no calcs
118,194,happiness,omg the concert was awesome madrigals gave me chills on almost every piecebrooks also called up alumni but i didnt get to go
119,196,sadness,up late with nothin  do
120,197,worry,i think the vog is making me sicker than i think feeling slightly achy
121,203,sadness, i feel the same way but i guess no matter where you are there will always be memes
122,204,happiness,i cant do  minutes of treadmill  but done  minutes for today already gonna do  minutes more
123,205,worry,im sooooooooooooo confused
124,207,worry,work day  of 
125,208,happiness,chillin with the roomies cant wait for the zombie clwn cr its gonna be  weeks
126,210,worry, no refunds but they do retrieve accounts takes like a week just hoping the thief doesnt use hacks or then its permaban
127,218,worry, so i tried jumping without the trampoline and its like thud thud  shouldnt have eaten that cookie  httpmylocmexiz
128,219,sadness,everytime i send an email to my coach i feel a need to practice    balls  lol
129,220,sadness,its pissing me off and not letting me follow ericka
130,221,sadness,is going to sleep not peaceful  wanted to hear him say good night but that didnt happen  good night everyone
131,222,sadness,my mums trying to make me feel ebtter about stopping voting adn not winning shortstack i almost cried
132,225,sadness,i havent seen muffin in two whole days
133,228,neutral, girl a blunt is soooooooo in my thoughts right now i had an absolutly great day with a few stressorscome home
134,229,worry,my twitter has been hacked again
135,230,sadness,just found mj mouse flats at djs of course there are none left in my size
136,232,neutral,man ulduar is hard
137,233,worry, i dont even want to know why you know about vhemt but dont go  wed miss you
138,234,neutral,night night twitter world still cant believe the thomas thing  tomorrows gunna be funsad
139,235,neutral,oats this is happening to me too
140,236,neutral, bored now because i was talking to someone but now theyre busy with something else  just kinda a bummer idk
141,237,sadness, i knoww  things wont be the samee 
142,239,happiness, i kno i doooo yall partyin with out me
143,241,neutral,ugh my dad just told me to read an article about kavya shivashankar the spellin bee girland be more like her
144,243,sadness,going to sleep gonna fall asleep playing apps again tmrw is going to suck
145,244,neutral,  yea     i gotta be up at 
146,245,worry,sprained my ankle  like really badly and tore some stuffs it hurts and its my birthday weekend
147,246,sadness,i cant believe the metal gear solid song was stolen    im so disappointed  httpbitlyykksu
148,247,neutral,not one sale done today at work explored balconies in the big theater w coworkers a fun day but void of chili fries and tips
149,248,sadness,  i wish i had left  dead but first id need something to play it on
150,249,neutral, me too
151,250,neutral, that story reminds of living in portugal
152,251,neutral,  youre diabetic   so is my dad   i might be too not sure  are you still allowed to eat sugar throughout the day
153,252,happiness,i spilled my beer all over my leg wasted half my beer  home now i met a cute girl good conversation
154,253,neutral,  ill make him nachos tomorrow better than if he would have made them himself
155,255,sadness,my teeth and head hurts
156,258,worry,just got home not wanting to read the last chaper of breaking dawn cause i dont want it to beover
157,259,worry,i need to be held  gnite
158,261,sadness,no more arrested development i am sad
159,262,neutral,xo  wicked  what time you leaving how come you cant stay the night
160,264,sadness,i feel so deflated no more doggy
161,265,worry,rain i wanna see her hair  hows everyone
162,266,sadness,i just had to empty my trash on the mac that was one of the most difficult things i have ever done in my life  pictures are gone
163,267,sadness,im contacting paws philippines so i can find tiger a new owner im so sad i love my dog soo much
164,272,sadness,alo is so sad and quiet and empty tonight
165,273,worry, you never answered your dm i sent you   i need your info
166,275,sadness, aw where are you headed to i just cancelled my trip to aussie
167,277,worry, i didnt think anyone caught that
168,278,neutral,oh nevermind i think this thing is unsalvageable
169,279,neutral,lyin in bed up faaaaar too early
170,282,worry,looks like ill never go to the zoo
171,284,neutral,when will medhurst play again
172,286,sadness,have to go to the dreaded dmv tomorrow
173,288,happiness,english class working on interactive orals
174,291,worry,my puppy gizmo hs me  haha he still growls  me  i always look back  my long pruple scar on my fingie
175,292,worry,i dont know how ima work out tomorrow wit my body dis sore  ugh
176,293,neutral,in   wo you
177,295,worry,im feeling this pressure in my head that always kicks in just before a nasty headache im not looking forward to this
178,296,sadness,taylor swift and joe jonas looked really good together im kinda sad they broke up
179,297,worry,im suppose to turn in a sentence outline for my research paper within the hour online but my neck hurts
180,299,sadness,god i just want to sleep
181,301,sadness,found my book starting a real paperbound journal tonight have an annoying zit above my lip makes me look like i have herpes
182,302,worry,is feeling bad  just got bad news about my mum
