tweet,emotion
"Start your weekend early,  Pamper yourself with all the things you love.

DOWNLOAD APP FOR FREE.
 https://lnkd.in/fkMATQG 
#kota
#jaipur
#Bangalore
#makemystyles
#mms
#Corona
#AatmaNirbharBharatAbhiyan
#COVID19
#Unlock1  pic.twitter.com/byDDhT8E1l",joy
"This is the #NewNormal
 https://www.instagram.com/tv/CBfiea4l2aq/ 

Take a look at my dining out experience post lockdown

#diningout #postLockdown
#Unlock1 #bangalore #igtv #foodvlog #foodtv #foodie #indianfood #punjabifood – at Kapoor's Cafe",joy
"Save big time when you book a Salon Appointment on our app.

DOWNLOAD APP FOR FREE.
 https://lnkd.in/fkMATQG 
#kota
#jaipur
#Bangalore
#makemystyles
#mms
#Corona
#AatmaNirbharBharatAbhiyan
#COVID19
#Unlock1  pic.twitter.com/CLPuixHnZI",sadness
"A good look is not always about the attire you carry, it's rather about the skin that glows and the beauty that flows

DOWNLOAD APP FOR FREE.
 https://lnkd.in/fkMATQG 
#kota
#jaipur
#Bangalore
#makemystyles
#mms
#Corona
#AatmaNirbharBharatAbhiyan
#COVID19
#Unlock1  pic.twitter.com/yGogrKjTZP",joy
"@DDNewslive #Unlock1.0Challenge 
Name: Mukund
Age: 5 years
School: NHPS bangalore  pic.twitter.com/Uw6iYMWTx1",joy
Am @Shell shocked! Normal #petrolPrice has crossed Rs 81 per litre in #Bengaluru. @srinivasiyc any answers? Normally you guys do:) #Bangalore people what says? Is it #NewNornal in #Unlock1 or are u still obsessed with #WFH & #maids? 😂@WeAreBangalore @IOL @PetroleumMin,anger
"Restaurants trying different ways to reassure costumers of the precautions taken amidst #COVID 
This one's from @ChaiPoint_cares in Bangalore. #Unlock1
After all #IndiaRunsOnChai :-) pic.twitter.com/ETTa1dfRyO",anger
"The new normal “Life”
.
.
#aatmanirbhar #lockdown2020 #unlock1 #quarantinelife #bloggerstyle #bloggerlife #lifestyle #staysafe #travel #instadaily #instamood #igers #positivevibes #saturdaymood @ Bangalore, India  https://www.instagram.com/p/CBXajd-hjlg/?igshid=tvmbhp63e3a6 …",joy
"News channel talking about unlock in Bengaluru.

#unlock #Unlock1#lockdown #bangalore #bengaluru #karnataka #roads pic.twitter.com/mWG3q8ElLH",sadness
"Indian Dads are too savage. Don’t mess with them. 
Instagram: @amithpawarr 

#india #bengaluru #bangalore #indiandads #dads #coronavirus #lockdown #Unlock1 #indiansAgainstTikTok #vines pic.twitter.com/PqRCFseuhk",sadness
