link,anger,disgust,fear,joy,sadness
https://twitter.com/DirectorMms/status/1273237409421910016,0.103825,0.006026,0.039646,0.752174,0.061685
https://twitter.com/Zafirsyed93/status/1272947297039511552,0.18995,0.051186,0.039858,0.366085,0.022648
https://twitter.com/DirectorMms/status/1272835705106911232,0.204532,0.045763,0.072432,0.09017,0.22031
https://twitter.com/DirectorMms/status/1272472402237124608,0.033757,0.014939,0.02035,0.840394,0.055977
https://twitter.com/deepesh9189/status/1272026437801795585,0.214767,0.226624,0.091711,0.32084,0.234114
https://twitter.com/anil_lulla/status/1272020674769379328,0.323072,0.265518,0.129257,0.059985,0.203948
https://twitter.com/PrabhuKeDarshan/status/1271750408474484736,0.18122,0.136147,0.109374,0.1153,0.168396
https://twitter.com/bloggerjessie/status/1271696672654077954,0.111255,0.045022,0.026542,0.754219,0.010735
https://twitter.com/ABaradwaj/status/1271681910289424384,0.263298,0.121054,0.142367,0.080311,0.364663
https://twitter.com/AmithPawar13/status/1271460176172683266,0.2439,0.215204,0.027509,0.106829,0.552713
https://twitter.com/DirectorMms/status/1271400913278623745,0.039877,0.012148,0.010366,0.713877,0.05167
https://twitter.com/SportNext1/status/1271305460834955268,0.094515,0.063905,0.126072,0.137964,0.229345
https://twitter.com/EnvoyNgo/status/1271125248226635776,0.122611,0.017908,0.036997,0.730042,0.037222
https://twitter.com/lasya24281664/status/1271069950992617472,0.124577,0.008397,0.052634,0.745702,0.066736
https://twitter.com/DirectorMms/status/1271051963237449729,0.138883,0.03941,0.060107,0.538942,0.05641
https://twitter.com/mahmood_saberi/status/1270943426956017665,0.169056,0.654779,0.06201,0.116112,0.104392
https://twitter.com/GautamGada1/status/1270934682943647744,0.05607,0.064769,0.015847,0.762781,0.061975
https://twitter.com/skumara003d/status/1270696669944975361,0.122716,0.035719,0.05916,0.023655,0.07161
https://twitter.com/BilalJaiHind/status/1270386698954792960,0.079431,0.037869,0.125757,0.117134,0.061626
https://twitter.com/DirectorMms/status/1270306115864141824,0.201047,0.03041,0.062639,0.208662,0.151438
https://twitter.com/IndiaToday/status/1270009078752915458,0.053918,0.13794,0.154375,0.434974,0.036256
https://twitter.com/the_real_Leemi/status/1269933319434665984,0.64429,0.250007,0.117533,0.03109,0.210498
https://twitter.com/rohini_mohan/status/1269907289152118784,0.283397,0.25688,0.084031,0.289698,0.236608
https://twitter.com/sheshagiri_pk/status/1269864705746583559,0.261068,0.042153,0.081759,0.125147,0.121937
https://twitter.com/gupta__a/status/1269818611528380416,0.275701,0.077742,0.078974,0.115008,0.092233
https://twitter.com/CentreStandView/status/1269256285108633600,0.062297,0.01895,0.046088,0.810225,0.055708
https://twitter.com/fyxbuddy/status/1269175338992496641,0.250253,0.096902,0.031819,0.325469,0.110521
https://twitter.com/fyxbuddy/status/1269175209174503425,0.250253,0.096902,0.031819,0.325469,0.110521
https://twitter.com/fyxbuddy/status/1269175077058183169,0.250253,0.096902,0.031819,0.325469,0.110521
https://twitter.com/fyxbuddy/status/1269174969159659521,0.250253,0.096902,0.031819,0.325469,0.110521
https://twitter.com/fyxbuddy/status/1269174831792001027,0.250253,0.096902,0.031819,0.325469,0.110521
https://twitter.com/fyxbuddy/status/1269174685700288513,0.250253,0.096902,0.031819,0.325469,0.110521
https://twitter.com/signorperi/status/1268910891895943170,0.008694,0.024331,0.057008,0.767721,0.158611
https://twitter.com/rightangleprop/status/1268827046509113344,0.612297,0.271494,0.050903,0.114572,0.12819
https://twitter.com/rightangleprop/status/1268594002229694466,0.168936,0.029242,0.073788,0.299769,0.082733
https://twitter.com/deepakgurunath/status/1268582061289336832,0.109818,0.02553,0.057117,0.709547,0.103133
https://twitter.com/princess_anshu/status/1268575076791619590,0.186603,0.223147,0.037631,0.317866,0.181989
https://twitter.com/contact_doers/status/1268413435915755522,0.041669,0.049365,0.119448,0.664062,0.029422
https://twitter.com/SitamMoharana/status/1268399179690360833,0.229996,0.211389,0.120893,0.143973,0.250777
https://twitter.com/VipinVijayNair/status/1267910909139304448,0.106248,0.01808,0.015912,0.563622,0.111953
https://twitter.com/nandini1058/status/1267898770236162048,0.097426,0.049604,0.021268,0.784973,0.031307
https://twitter.com/IamSolanky/status/1267875321103048705,0.171326,0.066768,0.705179,0.07371,0.129018
https://twitter.com/koolmayur/status/1267856127145861121,0.154934,0.654304,0.056471,0.100462,0.143731
https://twitter.com/Onerupee2015/status/1267721276757549056,0.18211,0.063387,0.060706,0.346659,0.13439
https://twitter.com/UWCforYouth/status/1267691315002671104,0.133733,0.295444,0.126178,0.165805,0.322807
https://twitter.com/SharonThambala/status/1267546292479123456,0.205586,0.137471,0.165105,0.181898,0.012274
https://twitter.com/SharonThambala/status/1267545136277278720,0.254565,0.10871,0.089483,0.290039,0.255127
https://twitter.com/vedvaghela/status/1267539061834727424,0.271769,0.111165,0.105377,0.126836,0.144388
https://twitter.com/babu_babuty563/status/1267370289194692609,0.233724,0.077837,0.20542,0.20954,0.196977
https://twitter.com/4700BCPopcorn/status/1267354924427304960,0.121548,0.018759,0.010996,0.512143,0.035231
https://twitter.com/_shailesh_gupta/status/1267316678989418502,0.065741,0.018789,0.033048,0.079194,0.032352
https://twitter.com/Redfish18/status/1267311616753676289,0.233877,0.076913,0.074317,0.161981,0.12768
https://twitter.com/IamSolanky/status/1267122106564820999,0.132661,0.038003,0.077375,0.133177,0.053376
https://twitter.com/MaaKi_Aankh/status/1266788795111915520,0.548824,0.100299,0.095407,0.113053,0.210278
