link,anger,disgust,fear,joy,sadness
https://twitter.com/iamMozhi/status/1273222531600662530,0.071466,0.074686,0.196896,0.034139,0.425111
https://twitter.com/BulletinHours/status/1272602618854903808,0.187861,0.344039,0.114547,0.219433,0.301447
https://twitter.com/Ajaychairman/status/1272602304152170497,0.217228,0.044112,0.193095,0.285958,0.205899
https://twitter.com/RKRadhakrishn/status/1272535487333335040,0.091565,0.10816,0.125493,0.275939,0.277598
https://twitter.com/Its_AnimeshS/status/1272493980190556164,0.060147,0.141633,0.110712,0.058882,0.292345
https://twitter.com/drmohanv/status/1272488427255001089,0.258964,0.037093,0.425449,0.111811,0.252998
https://twitter.com/iamMozhi/status/1272149683666776064,0.086721,0.094182,0.24869,0.006666,0.727008
https://twitter.com/bluetreelakes/status/1272068335048351744,0.071475,0.140855,0.052201,0.043033,0.35487
https://twitter.com/iamMozhi/status/1271780916281536513,0.086721,0.094182,0.24869,0.006666,0.727008
https://twitter.com/iamMozhi/status/1271412890038222850,0.086721,0.094182,0.24869,0.006666,0.727008
https://twitter.com/bluetreelakes/status/1271314519533342720,0.057819,0.074584,0.017658,0.053853,0.55405
https://twitter.com/ujjwal93609/status/1271106045666930688,0.147591,0.021617,0.026048,0.108456,0.588947
https://twitter.com/iamMozhi/status/1271061128647340033,0.086721,0.094182,0.24869,0.006666,0.727008
https://twitter.com/Priyanka_208/status/1270703035715653642,0.119136,0.185313,0.129034,0.048478,0.730068
https://twitter.com/iamMozhi/status/1270691724940148736,0.086721,0.094182,0.24869,0.006666,0.727008
https://twitter.com/sumtweets08/status/1270665923985174529,0.163748,0.067761,0.076899,0.127622,0.123308
https://twitter.com/MithaScreen/status/1270535425568849920,0.163748,0.067761,0.076899,0.127622,0.123308
https://twitter.com/iamMozhi/status/1270327414032343040,0.086721,0.094182,0.24869,0.006666,0.727008
https://twitter.com/anamika__sehgal/status/1270248461112246272,0.098925,0.069851,0.054434,0.096681,0.150055
https://twitter.com/galattadotcom/status/1270238561904676864,0.150903,0.101417,0.28967,0.026521,0.392348
https://twitter.com/behindwoods/status/1270196419614240769,0.037788,0.075537,0.04395,0.087546,0.160146
https://twitter.com/toipeople/status/1270171270617772034,0.057081,0.042824,0.026321,0.41633,0.046122
https://twitter.com/CNBCTV18Live/status/1269995850282881026,0.010368,0.048523,0.026012,0.339923,0.190403
https://twitter.com/ndtv/status/1269969441376235521,0.050232,0.079531,0.16306,0.239342,0.187437
https://twitter.com/iamMozhi/status/1269964953919913984,0.086721,0.094182,0.24869,0.006666,0.727008
https://twitter.com/kalidas894/status/1269937618948513794,0.343723,0.312201,0.245447,0.022923,0.237196
https://twitter.com/shoopyin/status/1269908789391765506,0.140285,0.053931,0.074652,0.158283,0.135891
https://twitter.com/behindwoods/status/1269891752741097473,0.037788,0.075537,0.04395,0.087546,0.160146
https://twitter.com/_RakeshRathod/status/1269890870591008768,0.187851,0.065105,0.315965,0.003739,0.704519
https://twitter.com/SamDev93/status/1269879754355666945,0.041283,0.039284,0.02172,0.046996,0.490897
https://twitter.com/anantmurali/status/1269802738151567362,0.058372,0.0665,0.014882,0.063665,0.497563
https://twitter.com/RDaffodils/status/1269731114345574401,0.096639,0.114677,0.517214,0.199013,0.23719
https://twitter.com/RDaffodils/status/1269730971831672832,0.096639,0.114677,0.517214,0.199013,0.23719
https://twitter.com/RDaffodils/status/1269730857444446209,0.096639,0.114677,0.517214,0.199013,0.23719
https://twitter.com/RDaffodils/status/1269730755753603074,0.096639,0.114677,0.517214,0.199013,0.23719
https://twitter.com/RDaffodils/status/1269730669954863104,0.096639,0.114677,0.517214,0.199013,0.23719
