,hashtags,link,tweet,sentiment
0,"['#coronavirus', '#missionbeginagain', '#unlock1']",https://twitter.com/mumbaimatterz/status/1273287168379588608,mumbai coronavirus updates missionbeginagain unlock suspected positive total positive patients deaths discharged today deaths in the city since tests till june,sadness
1,"['#covid19india', '#unlock2', '#mumbai', '#unlock1']",https://twitter.com/yogeshsakh/status/1273255966142795777,seeing the current covid india situation and talking abt unlock in mumbai is surprising new cases have not stopped no other city wld have dreamed to even unlock in current situation mumbai shd have been last in country to open up,sadness
2,"['#covidー19', '#coronavirus', '#maharashtrafightscorona', '#medicalmaharashtra', '#medd', '#coronaupdatesindia', '#unlockingindia', '#unlock1', '#mumbaifightscovid19', '#stayhomestaysafesavelives', '#covid19india', '#unlockindia']",https://twitter.com/Maha_MEDD/status/1273206174373089283,a map prepared by csir neeri mumbai showing covid cases in india th june coronavirus maharashtrafightscorona medicalmaharashtra medd coronaupdatesindia unlockingindia unlock mumbaifightscovid stayhomestaysafesavelives covid india unlockindia,neutral
3,"['#unlock1', '#mumbai']",https://twitter.com/theprasannata/status/1273196311173427201,i think probably us young people in the office have already contact the virus but are asymptomatic said a friend who has been working out of her research lab since march unlock mumbai,worry
4,"['#missionbeginagain', '#mumbai', '#unlock1']",https://twitter.com/mumbaiat24am/status/1273188299298017280,missionbeginagain mumbai crowds surge on day of unlock should government stagger timings as tuesday saw long queues at train stations experts tell state to consider varied office hours,worry
5,"['#lockdowndiaries', '#unlock1', '#mumbai', '#seafood']",https://twitter.com/d_tejal/status/1273162197963886594,ayee machiiiiyeee heard that call first time today felt like life is limping back but these daily calls are now like strange when silence has become a norm lockdowndiaries unlock mumbai seafood,sadness
6,['#unlock1'],https://twitter.com/vinitkumar_p/status/1273150061275426817,i feel people from other states are getting back to mumbai after unlock pls ensure to follow protocol so that it doesn t spread again,worry
7,"['#covid_19', '#covid19', '#covid19mumbai', '#udhavthackeray', '#unlock1', '#lockdownfailed', '#maharashtra', '#wakeup']",https://twitter.com/14_aditi/status/1273003725758447616,why does the bmc not seal the society when there is a positive case found why is this levy given when the number of cases are very high now in mumbai covid covid covid mumbai udhavthackeray unlock lockdownfailed maharashtra wakeup,worry
8,"['#covid_19', '#covid19mumbai', '#udhavthackeray', '#unlock1', '#lockdownfailed']",https://twitter.com/14_aditi/status/1273002520906887168,how many covid tests are done on a daily basis in mumbai thane kalyan dombivli ambarnath badlapur vasai virar navi mumbai why is there unlock when there are less number beds hospital facilities covid mumbai udhavthackeray unlock lockdownfailed,worry
9,"['#coronavirus', '#missionbeginagain', '#unlock1']",https://twitter.com/mumbaimatterz/status/1272928997932797953,mumbai coronavirus updates missionbeginagain unlock suspected positive total positive patients deaths discharged today deaths in the city since includes deaths added tests till june,worry
10,['#unlock1'],https://twitter.com/PIBMumbai/status/1272896101889249283,pm holds interaction with cms to discuss situation emerging post unlock we must focus on both life and livelihood boost health infrastructure testing and tracing as well as increase economic activity pm,worry
11,"['#mumbai', '#unlock1']",https://twitter.com/SocialCentralMS/status/1272887023746064393,the city of dreams slowly is coming back to life after a hiatus like never before slowly but surely we shall experience mumbai in all its former characteristic glory here s saluting the patience of the people the true lifeline of mumbai mumbai unlock,sadness
12,"['#newspaper', '#mumbai', '#covid19', '#lockdown', '#unlock1', '#mumbainews', '#media']",https://twitter.com/jakejoss/status/1272885289393020930,with newspaper distribution in mumbai slowly coming back to normal how soon would you restart your physical copy subscription newspaper mumbai covid lockdown unlock mumbainews media,neutral
13,"['#missionbeginagain', '#unlock1', '#mulund', '#shopsreopening']",https://twitter.com/guy92_hitesh/status/1272849519512862720,see this post by mukesh electric hardware on google missionbeginagain unlock mulund shopsreopening,neutral
14,"['#unlock1', '#covid19']",https://twitter.com/PIBMumbai/status/1272843764730482696,our experience shows us and gives us confidence that india can move forward while minimizing our losses that we can manage our economic situation two weeks of unlock has shown that if we follow rules and guidelines there will be minimal harm due to covid pm,worry
15,"['#mumbai', '#kutchi', '#unlock1', '#coronavirus']",https://twitter.com/Divya_Bhaskar/status/1272831169256583168,mumbai kutchi unlock coronavirus,neutral
16,"['#mumbai', '#covid19inmaharashtra', '#unlock1']",https://twitter.com/Divya_Bhaskar/status/1272819855054393344,mumbai covid inmaharashtra unlock,neutral
