link,anger,disgust,fear,joy,sadness
https://twitter.com/Monideepa62/status/1273254543640244234,0.259856,0.082268,0.241227,0.034699,0.221828
https://twitter.com/Monideepa62/status/1273254133097566209,0.380566,0.121169,0.12341,0.008354,0.492537
https://twitter.com/BYCS_Kolkata/status/1273157287851569160,0.129707,0.047912,0.175845,0.251307,0.091712
https://twitter.com/Calcutta_Times/status/1273125722681487362,0.078268,0.137399,0.18155,0.056106,0.592417
https://twitter.com/Monideepa62/status/1272893769394896896,0.259856,0.082268,0.241227,0.034699,0.221828
https://twitter.com/payalmehta100/status/1272823587334836225,0.139511,0.045554,0.157633,0.049694,0.790207
https://twitter.com/RivuSourav/status/1272812145051348998,0.102983,0.256765,0.738753,0.014516,0.218544
https://twitter.com/BulletinHours/status/1272602618854903808,0.187861,0.344039,0.114547,0.219433,0.301447
https://twitter.com/BharatJ82/status/1272496951062380544,0.162567,0.017457,0.128073,0.630845,0.05275
https://twitter.com/kls_rt/status/1272211483854811138,0.131878,0.068963,0.081881,0.139394,0.131241
https://twitter.com/Monideepa62/status/1271818525389144066,0.283194,0.075767,0.214737,0.035294,0.284797
https://twitter.com/aniketdas1186/status/1271799621958791173,0.066195,0.366014,0.371652,0.059659,0.443891
https://twitter.com/bluetreelakes/status/1271314519533342720,0.057819,0.074584,0.017658,0.053853,0.55405
https://twitter.com/nilagrib/status/1271299598217142273,0.404129,0.084651,0.289111,0.039337,0.384291
https://twitter.com/TanmoyDeyOffice/status/1271153778649993217,0.07722,0.031669,0.171063,0.055664,0.22521
https://twitter.com/Monideepa62/status/1271145642660777984,0.271889,0.080413,0.277955,0.031876,0.226914
https://twitter.com/jimm_ray/status/1271070000174911488,0.124929,0.598947,0.099188,0.078393,0.354086
https://twitter.com/razekkar/status/1270963059062829057,0.198717,0.09281,0.799479,0.032682,0.141281
https://twitter.com/MeghaKejriwal19/status/1270756221830795274,0.112461,0.020237,0.082181,0.644263,0.051995
https://twitter.com/sakaltimes/status/1270728741493379074,0.055262,0.121362,0.365673,0.024281,0.267329
