link,anger,disgust,fear,joy,sadness
https://twitter.com/mumbaimatterz/status/1273287168379588608,0.073625,0.036269,0.277498,0.078709,0.673792
https://twitter.com/yogeshsakh/status/1273255966142795777,0.061298,0.093881,0.127759,0.289874,0.247836
https://twitter.com/Maha_MEDD/status/1273206174373089283,0.028663,0.072313,0.084191,0.099946,0.224858
https://twitter.com/theprasannata/status/1273196311173427201,0.121082,0.112676,0.234891,0.139355,0.567514
https://twitter.com/d_tejal/status/1273162197963886594,0.049405,0.038421,0.235149,0.334971,0.456907
https://twitter.com/vinitkumar_p/status/1273150061275426817,0.046069,0.045439,0.051791,0.102473,0.374229
https://twitter.com/14_aditi/status/1273003725758447616,0.04923,0.047827,0.028722,0.301101,0.07742
https://twitter.com/14_aditi/status/1273002520906887168,0.084285,0.029279,0.194293,0.086895,0.2237
https://twitter.com/mumbaimatterz/status/1272928997932797953,0.074982,0.033199,0.281905,0.047363,0.642231
https://twitter.com/SocialCentralMS/status/1272887023746064393,0.066214,0.01508,0.014395,0.273984,0.664165
https://twitter.com/jakejoss/status/1272885289393020930,0.140249,0.079838,0.114432,0.238627,0.218086
https://twitter.com/Maha_MEDD/status/1272796975788785665,0.027942,0.066991,0.082719,0.098108,0.223127
https://twitter.com/Maha_MEDD/status/1272780567184945153,0.028663,0.072313,0.084191,0.099946,0.224858
https://twitter.com/Sunshiinegal/status/1272774541060653056,0.039624,0.0491,0.02273,0.311003,0.401125
https://twitter.com/susanmuchhala/status/1272756157174571008,0.245574,0.184555,0.052248,0.490072,0.174527
https://twitter.com/ChaitanyaThor8/status/1272723524445036544,0.332394,0.17553,0.164377,0.104576,0.450167
https://twitter.com/BulletinHours/status/1272602618854903808,0.187861,0.344039,0.114547,0.219433,0.301447
https://twitter.com/NewsParho/status/1272600252651057153,0.090169,0.050718,0.167692,0.069646,0.090876
https://twitter.com/IBS_MediaNews/status/1272580126203473921,0.152117,0.182348,0.140402,0.052234,0.216584
https://twitter.com/mumbaimatterz/status/1272566418467246086,0.073625,0.036269,0.277498,0.078709,0.673792
https://twitter.com/payaltalk/status/1272541440321568768,0.129748,0.058585,0.06535,0.149145,0.134679
https://twitter.com/JayKhuthia/status/1272531230513262592,0.44932,0.046864,0.304135,0.048427,0.240763
https://twitter.com/anandaditya/status/1272507950741905408,0.037223,0.192289,0.052556,0.056545,0.064214
https://twitter.com/anandaditya/status/1272507720122249217,0.036147,0.168824,0.056373,0.055831,0.055576
https://twitter.com/akshaysatardek3/status/1272502830763515904,0.333456,0.049266,0.092252,0.029774,0.432756
https://twitter.com/phimanshi45/status/1272477080161157121,0.032067,0.139789,0.070279,0.039578,0.29612
https://twitter.com/ParbhaniInfo/status/1272475509377531904,0.01903,0.036367,0.036719,0.377804,0.096522
https://twitter.com/Maha_MEDD/status/1272465150755266560,0.027942,0.066991,0.082719,0.098108,0.223127
https://twitter.com/NewsMobileIndia/status/1272455935152156673,0.101822,0.069061,0.067434,0.091186,0.335853
https://twitter.com/ivyasaa/status/1272445454861479937,0.051976,0.035041,0.088416,0.540965,0.203536
https://twitter.com/newsexpresslive/status/1272436779530874881,0.118194,0.143965,0.048219,0.295883,0.391786
https://twitter.com/Maha_MEDD/status/1272435857589297152,0.028663,0.072313,0.084191,0.099946,0.224858
https://twitter.com/NEWSinfer/status/1272431069439000579,0.128358,0.13384,0.129586,0.331332,0.298934
https://twitter.com/Ei_Samay/status/1272427604310515713,0.129748,0.058585,0.06535,0.149145,0.134679
https://twitter.com/dhake_narendra/status/1272422267964751872,0.06468,0.071116,0.161291,0.071943,0.765076
https://twitter.com/SawantSanjyot/status/1272397786877693952,0.047488,0.080096,0.034628,0.067228,0.100426
https://twitter.com/addymitra/status/1272391819435757568,0.005922,0.003579,0.002991,0.898621,0.007993
https://twitter.com/21Kaustubh/status/1272389154135932930,0.02082,0.020164,0.013711,0.222738,0.033575
https://twitter.com/21Kaustubh/status/1272388673380610048,0.11159,0.130659,0.051655,0.052803,0.03675
https://twitter.com/ndtv/status/1272378372920799232,0.106666,0.124562,0.162268,0.511263,0.079005
https://twitter.com/ItvBharat/status/1272210579277484032,0.022377,0.059812,0.108595,0.091198,0.166377
https://twitter.com/mumbaimatterz/status/1272198184844976129,0.058877,0.037606,0.200514,0.072383,0.730975
https://twitter.com/Maha_MEDD/status/1272073035617415169,0.027942,0.066991,0.082719,0.098108,0.223127
https://twitter.com/Maha_MEDD/status/1272072259100749824,0.028663,0.072313,0.084191,0.099946,0.224858
https://twitter.com/bluetreelakes/status/1272068335048351744,0.071475,0.140855,0.052201,0.043033,0.35487
