number,city,pop1,pop2,state
1,Mumbai,"1,24,42,373","1,19,78,450",Maharashtra
2,Delhi,"1,10,07,835","98,79,172",Delhi
3,Bangalore,"84,36,675","43,01,326",Karnataka
4,Hyderabad,"68,09,970","36,37,483",Telangana
5,Ahmedabad,"55,70,585","35,20,085",Gujarat
6,Chennai,"46,81,087","43,43,645",Tamil Nadu
7,Kolkata,"44,86,679","45,72,876",West Bengal
8,Surat,"44,67,797","24,33,835",Gujarat
9,Pune,"31,24,458","25,38,473",Maharashtra
10,Jaipur,"30,46,163","23,22,575",Rajasthan
11,Visakhapatnam,"29,82,904","24,56,452",Andhra Pradesh
12,Nagpur,"24,05,665","20,52,066",Maharashtra
13,Lucknow,"23,17,105","19,85,927",Uttar Pradesh
14,Kanpur,"22,65,348","21,51,337",Uttar Pradesh
15,Thane,"18,41,488","12,62,551",Maharashtra
16,Bhopal,"17,98,218","14,37,354",Madhya Pradesh
17,Indore,"16,64,086","13,74,968",Madhya Pradesh
18,Pimpri-Chinchwad,"17,27,692","10,12,472",Maharashtra
19,Patna,"16,84,222","13,66,444",Bihar
20,Vadodara,"16,70,806","13,06,227",Gujarat
21,Ghaziabad,"16,48,643","9,68,256",Uttar Pradesh
22,Ludhiana,"16,18,879","13,98,467",Punjab
23,Agra,"15,85,704","12,75,134",Uttar Pradesh
24,Nashik,"14,86,053","10,77,236",Maharashtra
25,Faridabad,"14,14,050","10,55,938",Haryana
26,Meerut,"13,05,429","10,39,405",Uttar Pradesh
27,Rajkot,"12,86,678","9,67,476",Gujarat
28,Kalyan-Dombivli,"12,47,327","11,93,512",Maharashtra
29,Vasai-Virar,"12,22,390","6,93,350",Maharashtra
30,Varanasi,"12,01,815","10,91,918",Uttar Pradesh
31,Srinagar,"11,80,570","8,98,440",Jammu and Kashmir
32,Aurangabad,"11,75,116","8,73,311",Maharashtra
33,Dhanbad,"11,62,472","10,65,327",Jharkhand
34,Amritsar,"11,32,383","9,66,862",Punjab
35,Navi Mumbai,"11,20,547","7,04,002",Maharashtra
36,Allahabad,"11,12,544","9,75,393",Uttar Pradesh
37,Howrah,"10,77,075","10,07,532",West Bengal
38,Ranchi,"10,73,427","8,47,093",Jharkhand
39,Gwalior,"10,69,276","8,27,026",Madhya Pradesh
40,Jabalpur,"10,55,525","9,32,484",Madhya Pradesh
41,Coimbatore,"10,50,721","9,30,882",Tamil Nadu
42,Vijayawada,"10,34,358","8,51,282",Andhra Pradesh
43,Jodhpur,"10,33,918","8,51,051",Rajasthan
44,Madurai,"10,17,865","9,28,869",Tamil Nadu
45,Raipur,"10,10,087","6,05,747",Chhattisgarh
46,Chandigarh,"10,28,667","8,08,515",Chandigarh
47,Guwahati,"9,57,352","8,09,895",Assam
48,Solapur,"9,51,558","8,72,478",Maharashtra
49,Hubli–Dharwad,"9,43,788","7,86,195",Karnataka
50,Mysore,"9,20,550","7,62,408",Karnataka
51,Tiruchirappalli,"9,16,674","7,52,066",Tamil Nadu
52,Bareilly,"8,98,167","7,18,395",Uttar Pradesh
53,Aligarh,"8,89,810","6,72,315",Uttar Pradesh
54,Tiruppur,"8,77,778","3,44,543",Tamil Nadu
55,Gurgaon,"8,76,824","1,73,542",Haryana
56,Moradabad,"8,72,575","6,69,087",Uttar Pradesh
57,Jalandhar,"8,62,196","7,06,043",Punjab
58,Bhubaneswar,"8,37,737","6,48,032",Odisha
59,Salem,"8,31,038","6,96,760",Tamil Nadu
60,Warangal,"8,30,281","5,30,636",Telangana
61,Mira-Bhayandar,"8,14,655","5,20,388",Maharashtra
62,Jalgaon,"7,98,514","4,62,280",Maharashtra
63,Kota,"7,43,556","5,94,316",Rajasthan
64,Guntur,"7,43,354","5,14,461",Andhra Pradesh
65,Bhiwandi,"7,11,329","5,98,741",Maharashtra
66,Saharanpur,"7,03,345","4,55,754",Uttar Pradesh
67,Gorakhpur,"6,71,048","6,22,701",Uttar Pradesh
68,Bikaner,"6,47,804","5,29,690",Rajasthan
69,Amravati,"6,46,801","5,49,510",Maharashtra
70,Noida,"6,42,381","3,05,058",Uttar Pradesh
71,Jamshedpur,"6,31,364","5,73,096",Jharkhand
72,Bhilai,"6,25,697","5,56,366",Chhattisgarh
73,Cuttack,"6,06,007","5,34,654",Odisha
74,Firozabad,"6,03,797","2,79,102",Uttar Pradesh
75,Kochi,"6,01,574","5,96,473",Kerala
76,Nellore,"6,00,869","3,78,428",Andhra Pradesh
